Unnamed: 0,country,year_1978,year_1979,year_1980,year_1981,year_1982,year_1983,year_1984,year_1985,year_1986,year_1987,year_1988,year_1989,year_1990,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
11,Australia,14358000.0,14514000.0,14692000.0,14927000.0,15178000.0,15369000.0,15544000.0,15758000.0,16018400.0,16263900.0,16532200.0,16814400.0,17065100,17284000,17495000.0,17667000.0,17855000.0,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465.0,23128129.0,23475686.0,23815995.0,24190907.0,24601860.0,24982688.0,25365745.0,25687041.0
12,Austria,7562305.0,7549425.0,7549433.0,7568710.0,7574140.0,7561910.0,7561434.0,7564985.0,7569794.0,7574586.0,7585317.0,7619567.0,7677850,7754891,7840709.0,7905633.0,7936118.0,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991.0,8479823.0,8546356.0,8642699.0,8736668.0,8797566.0,8840521.0,8879920.0,8917205.0
13,Azerbaijan,5957927.0,6053635.0,6150735.0,6249312.0,6349555.0,6452067.0,6557581.0,6666447.0,6778631.0,6893486.0,7010027.0,7126877.0,7159000,7271000,7382000.0,7495000.0,7597000.0,7685000,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784.0,9416801.0,9535079.0,9649341.0,9757812.0,9854033.0,9939771.0,10024283.0,10110116.0
14,"Bahamas, The",201482.0,205991.0,210589.0,215321.0,220182.0,225095.0,229913.0,234579.0,239020.0,243265.0,247451.0,251738.0,256227,261007,266028.0,271065.0,275849.0,280179,283980,287363,290600,294063,298045,302618,307657,313123,318893,324848,331032,337387,343680,349600,354936,359583,363581.0,367162.0,370625.0,374200.0,377923.0,381749.0,385635.0,389486.0,393248.0
15,Bahrain,323468.0,342804.0,359897.0,374120.0,385953.0,396451.0,407233.0,419428.0,433478.0,448981.0,465198.0,481081.0,495927,509762,523082.0,536212.0,549590.0,563698,578661,594927,613697,636540,664610,697550,735140,778708,829846,889157,958423,1035924,1114645,1185075,1240864,1278153,1299942.0,1315029.0,1336073.0,1371853.0,1425793.0,1494077.0,1569440.0,1641164.0,1701583.0
16,Bangladesh,75450033.0,77529040.0,79639498.0,81767516.0,83932132.0,86142490.0,88416529.0,90764180.0,93187593.0,95671159.0,98186350.0,100695496.0,103171957,105599125,107983708.0,110350641.0,112737684.0,115169933,117649927,120160571,122682818,125189655,127657862,130088709,132478077,134791598,136986429,139035505,140921154,142660381,144304164,145924795,147575433,149273134,151005733.0,152761413.0,154517385.0,156256287.0,157977151.0,159685421.0,161376713.0,163046173.0,164689383.0
17,Barbados,250200.0,251347.0,252388.0,253296.0,254078.0,254791.0,255493.0,256260.0,257117.0,258012.0,258970.0,259961.0,260933,261912,262890.0,263869.0,264893.0,265955,267047,268183,269334,270455,271511,272494,273423,274331,275283,276320,277475,278701,279946,281107,282131,282987,283698.0,284294.0,284825.0,285327.0,285798.0,286229.0,286640.0,287021.0,287371.0
18,Belarus,9525000.0,9584000.0,9643000.0,9710000.0,9776000.0,9843000.0,9910000.0,9975000.0,10043000.0,10111000.0,10140000.0,10170000.0,10189000,10194000,10216000.0,10239000.0,10227000.0,10194000,10160000,10117000,10069000,10026738,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9506765,9490583,9473172,9464495.0,9465997.0,9474511.0,9489616.0,9501534.0,9498264.0,9483499.0,9417849.0,9398861.0
19,Belgium,9839534.0,9848382.0,9859242.0,9858982.0,9856303.0,9855520.0,9855372.0,9858308.0,9861823.0,9870234.0,9901664.0,9937697.0,9967379,10004486,10045158.0,10084475.0,10115603.0,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932.0,11159407.0,11209057.0,11274196.0,11331422.0,11375158.0,11427054.0,11488980.0,11555997.0
20,Belize,138975.0,141302.0,144142.0,147572.0,151486.0,155820.0,160341.0,164918.0,169569.0,174333.0,179023.0,183471.0,187554,191136,194324.0,197625.0,201679.0,206962,213660,221575,230248,238979,247310,255068,262387,269428,276516,283798,291338,299031,306822,314655,322465,330236,338001.0,345707.0,353366.0,360926.0,368399.0,375775.0,383071.0,390351.0,397621.0
21,Benin,3523933.0,3618519.0,3717161.0,3820126.0,3927717.0,4039940.0,4156819.0,4278502.0,4404504.0,4535262.0,4672844.0,4820020.0,4978489,5149496,5331805.0,5521761.0,5714215.0,5905552,6094272,6281644,6470275,6664102,6865946,7076728,7295400,7520556,7750003,7982223,8216893,8454790,8696915,8944713,9199254,9460829,9729254.0,10004594.0,10286839.0,10575962.0,10872072.0,11175192.0,11485035.0,11801151.0,12123198.0
22,Bermuda,53600.0,53800.0,54670.0,55050.0,55449.0,55930.0,56423.0,56898.0,57382.0,57849.0,58347.0,58841.0,59326,59021,58595.0,58910.0,59320.0,59746,60129,60497,60943,61285,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798.0,65001.0,65138.0,65237.0,64554.0,63873.0,63919.0,63913.0,63903.0
23,Bhutan,383324.0,395192.0,406883.0,418107.0,428938.0,439823.0,451471.0,464264.0,478683.0,494313.0,509532.0,522173.0,530801,534637,534525.0,532590.0,531905.0,534629,541471,551713,564378,577886,591014,603643,616025,627840,638809,648744,657404,664873,671611,678329,685502,693297,701582.0,710235.0,719053.0,727885.0,736706.0,745563.0,754396.0,763094.0,771612.0
24,Bolivia,5344946.0,5462413.0,5579932.0,5697098.0,5814344.0,5932812.0,6054126.0,6179460.0,6309129.0,6442824.0,6580318.0,6721117.0,6864839,7011456,7160917.0,7312857.0,7466792.0,7622334,7779268,7937453,8096761,8257066,8418270,8580244,8742822,8905820,9069044,9232301,9395449,9558438,9721457,9884790,10048597,10212951,10377677.0,10542375.0,10706517.0,10869732.0,11031822.0,11192853.0,11353140.0,11513102.0,11673029.0
25,Bosnia and Herzegovina,4100355.0,4138816.0,4179850.0,4222479.0,4265183.0,4307907.0,4350566.0,4392135.0,4435925.0,4479516.0,4509462.0,4507819.0,4463422,4369320,4233673.0,4078940.0,3936527.0,3829049,3764419,3736070,3734338,3743353,3751176,3755514,3759389,3762179,3764194,3765332,3765422,3762791,3754261,3735945,3705478,3661173,3604972.0,3542598.0,3482106.0,3429362.0,3386263.0,3351534.0,3323929.0,3300998.0,3280815.0
